NUM_Segment = 100000000
NUM_THREADS = 100
Running time per thread:
id: 0 time: 0.6949030000
id: 1 time: 0.6715330000
id: 2 time: 0.6304640000
id: 3 time: 0.6113640000
id: 4 time: 0.7081230000
id: 5 time: 0.6972910000
id: 6 time: 0.7307250000
id: 7 time: 0.6823950000
id: 8 time: 0.6866870000
id: 9 time: 0.6616000000
id: 10 time: 0.7189060000
id: 11 time: 0.7082750000
id: 12 time: 0.7213490000
id: 13 time: 0.5914120000
id: 14 time: 0.6659590000
id: 15 time: 0.7027480000
id: 16 time: 0.6341460000
id: 17 time: 0.5875190000
id: 18 time: 0.6072560000
id: 19 time: 0.5873360000
id: 20 time: 0.5795430000
id: 21 time: 0.5872350000
id: 22 time: 0.6037620000
id: 23 time: 0.6815590000
id: 24 time: 0.5714590000
id: 25 time: 0.5673520000
id: 26 time: 0.5715200000
id: 27 time: 0.6537380000
id: 28 time: 0.5237480000
id: 29 time: 0.6439920000
id: 30 time: 0.6025550000
id: 31 time: 0.6371740000
id: 32 time: 0.5505690000
id: 33 time: 0.5547020000
id: 34 time: 0.6372410000
id: 35 time: 0.4999920000
id: 36 time: 0.5508160000
id: 37 time: 0.6217510000
id: 38 time: 0.5784580000
id: 39 time: 0.5634680000
id: 40 time: 0.5429240000
id: 41 time: 0.5310990000
id: 42 time: 0.6004210000
id: 43 time: 0.5436410000
id: 44 time: 0.5507770000
id: 45 time: 0.6020640000
id: 46 time: 0.4743860000
id: 47 time: 0.6245480000
id: 48 time: 0.4747950000
id: 49 time: 0.4589120000
id: 50 time: 0.4902920000
id: 51 time: 0.5308950000
id: 52 time: 0.6721420000
id: 53 time: 0.5475080000
id: 54 time: 0.5582540000
id: 55 time: 0.6258620000
id: 56 time: 0.5268130000
id: 57 time: 0.5271650000
id: 58 time: 0.6487880000
id: 59 time: 0.5991750000
id: 60 time: 0.5381400000
id: 61 time: 0.6370210000
id: 62 time: 0.5505310000
id: 63 time: 0.5684170000
id: 64 time: 0.5968190000
id: 65 time: 0.5585510000
id: 66 time: 0.5065270000
id: 67 time: 0.5467510000
id: 68 time: 0.5582750000
id: 69 time: 0.4866310000
id: 70 time: 0.4905620000
id: 71 time: 0.5667060000
id: 72 time: 0.5572450000
id: 73 time: 0.5264170000
id: 74 time: 0.4633050000
id: 75 time: 0.4835180000
id: 76 time: 0.4747590000
id: 77 time: 0.5123880000
id: 78 time: 0.5313310000
id: 79 time: 0.4704850000
id: 80 time: 0.4626290000
id: 81 time: 0.5137660000
id: 82 time: 0.4982810000
id: 83 time: 0.5099950000
id: 84 time: 0.4551130000
id: 85 time: 0.4552790000
id: 86 time: 0.5094550000
id: 87 time: 0.4513250000
id: 88 time: 0.5171390000
id: 89 time: 0.4557090000
id: 90 time: 0.4675550000
id: 91 time: 0.4979840000
id: 92 time: 0.1105230000
id: 93 time: 0.1201490000
id: 94 time: 0.1063510000
id: 95 time: 0.1150150000
id: 96 time: 0.1090080000
id: 97 time: 0.1028320000
id: 98 time: 0.1012590000
id: 99 time: 0.0902830000
ans = 3.1415926636
total time: 1.5548970000
